2024-11-06 18:51:08 INFO  UnitTest:35 - UnitTests start
2024-11-06 18:51:09 INFO  UnitTest:40 - Test Method  is called
2024-11-06 18:51:09 INFO  UnitTest:50 - doFullRowsCollapseAndScoreIsUpdated Test start
2024-11-06 18:51:09 INFO  UnitTest:51 - filled rows number is 2
2024-11-06 18:51:09 INFO  UnitTest:54 - new tetramino is called with the shape type Z
2024-11-06 18:51:09 INFO  UnitTest:58 - collapsed layers count=2
2024-11-06 18:51:09 INFO  UnitTest:59 - players score =20
2024-11-06 18:51:09 INFO  UnitTest:201 - Test Method  is finished
2024-11-06 18:51:09 INFO  UnitTest:40 - Test Method  is called
2024-11-06 18:51:09 INFO  UnitTest:50 - doFullRowsCollapseAndScoreIsUpdated Test start
2024-11-06 18:51:09 INFO  UnitTest:51 - filled rows number is 3
2024-11-06 18:51:09 INFO  UnitTest:54 - new tetramino is called with the shape type S
2024-11-06 18:51:09 INFO  UnitTest:58 - collapsed layers count=3
2024-11-06 18:51:09 INFO  UnitTest:59 - players score =30
2024-11-06 18:51:09 INFO  UnitTest:201 - Test Method  is finished
2024-11-06 18:51:09 INFO  UnitTest:40 - Test Method  is called
2024-11-06 18:51:09 INFO  UnitTest:144 - doesTetraminoMoveDown Test start
2024-11-06 18:51:09 INFO  UnitTest:146 - new tetramino is called with the shape type L
2024-11-06 18:51:09 INFO  UnitTest:153 - Tetramino initial position x=4 y=0
2024-11-06 18:51:09 INFO  UnitTest:154 - moveDown is called
2024-11-06 18:51:09 INFO  UnitTest:155 - Tetramino after moveDown with step 1 new position x=4 y=1
2024-11-06 18:51:09 INFO  UnitTest:201 - Test Method  is finished
2024-11-06 18:51:09 INFO  UnitTest:40 - Test Method  is called
2024-11-06 18:51:09 INFO  UnitTest:144 - doesTetraminoMoveDown Test start
2024-11-06 18:51:09 INFO  UnitTest:146 - new tetramino is called with the shape type I
2024-11-06 18:51:09 INFO  UnitTest:153 - Tetramino initial position x=4 y=0
